Time [s]	Eng. strain [-]	Cast-800-20C-007 [MPa]
0.000344	0.277704	940.883311
0.000345	0.278563	940.883311
0.000346	0.279417	941.080023
0.000347	0.280260	941.622096
0.000348	0.281140	940.932060
0.000349	0.282037	939.699952
0.000350	0.282869	940.636478
0.000351	0.283681	942.262696
0.000352	0.284526	942.755334
0.000353	0.285354	943.888915
0.000354	0.286183	944.973404
0.000355	0.287054	944.628729
0.000356	0.287908	944.875220
0.000357	0.288742	945.811403
0.000358	0.289597	946.057893
0.000359	0.290456	946.205856
0.000360	0.291320	946.156420
0.000361	0.292194	945.811403
0.000362	0.293057	945.811403
0.000363	0.293929	945.466385
0.000364	0.294793	945.367857
0.000365	0.295608	946.944984
0.000366	0.296429	948.275620
0.000367	0.297302	947.832074
0.000368	0.298172	947.437964
0.000369	0.299016	947.881510
0.000370	0.299861	948.275620
0.000371	0.300731	947.832074
0.000372	0.301619	946.797021
0.000373	0.302464	947.142039
0.000374	0.303287	948.226528
0.000375	0.304152	947.930945
0.000376	0.304996	948.325398
0.000377	0.305800	950.050488
0.000378	0.306654	950.149015
0.000379	0.307523	949.705127
0.000380	0.308339	951.084855
0.000381	0.309170	951.972289
0.000382	0.310058	950.937579
0.000383	0.310938	950.198107
0.000384	0.311792	950.345727
0.000385	0.312641	950.641310
0.000386	0.313484	951.183382
0.000387	0.314334	951.429873
0.000388	0.315191	951.479308
0.000389	0.316038	951.824669
0.000390	0.316903	951.578522
0.000391	0.317761	951.529087
0.000392	0.318579	952.859380
0.000393	0.319427	953.154962
0.000394	0.320326	951.775234
0.000395	0.321186	951.726142
0.000396	0.322013	952.761195
0.000397	0.322864	953.007686
0.000398	0.323707	953.549759
0.000399	0.324537	954.485942
0.000400	0.325399	954.387414
0.000401	0.326273	953.943869
0.000402	0.327120	954.387071
0.000403	0.327948	955.471216
0.000404	0.328792	956.062725
0.000405	0.329671	955.520652
0.000406	0.330548	955.028014
0.000407	0.331388	955.767486
0.000408	0.332227	956.556049
0.000409	0.333107	955.964541
0.000410	0.333996	955.028014
0.000411	0.334846	955.422124
0.000412	0.335666	956.802196
0.000413	0.336493	957.936120
0.000414	0.337338	958.478193
0.000415	0.338193	958.674905
0.000416	0.339063	958.378979
0.000417	0.339942	957.738379
0.000418	0.340803	957.738722
0.000419	0.341656	957.985212
0.000420	0.342522	957.787814
0.000421	0.343368	958.231359
0.000422	0.344206	958.921395
0.000423	0.345073	958.576377
0.000424	0.345925	958.674905
0.000425	0.346748	959.709958
0.000426	0.347597	959.857921
0.000427	0.348454	959.709958
0.000428	0.349292	960.153504
0.000429	0.350144	960.104412
0.000430	0.350995	960.005884
0.000431	0.351829	960.399994
0.000432	0.352679	960.252375
0.000433	0.353534	959.956792
0.000434	0.354369	960.301467
0.000435	0.355194	960.942067
0.000436	0.356006	962.026213
0.000437	0.356823	962.913304
0.000438	0.357682	962.420666
0.000439	0.358557	961.336520
0.000440	0.359424	960.547957
0.000441	0.360274	960.301467
0.000442	0.361092	961.090030
0.000443	0.361924	961.435048
0.000444	0.362797	960.350902
0.000445	0.363646	960.055320
0.000446	0.364464	960.794447
0.000447	0.365302	960.843540
0.000448	0.366141	960.892632
0.000449	0.366959	961.631759
0.000450	0.367783	962.223268
0.000451	0.368616	962.519194
0.000452	0.369449	962.815119
0.000453	0.370281	963.160137
0.000454	0.371121	963.258665
